PLAYER,POSITION,TEAM,'23-'24 SALARY
Dominic Calvert-Lewin,FW,Everton,7.0
Jordan Pickford,GK,Everton,6.0
Amadou Onana,MF,Everton,6.0
James Tarkowski,DF,Everton,6.0
Abdoulaye Doucouré,MF,Everton,6.0
Dwight McNeil,FW,Everton,5.0
Seamus Coleman,DF,Everton,5.0
Vitalii Mykolenko,DF,Everton,5.0
Beto,FW,Everton,6.0
Arnaut Danjuma,FW,Everton,5.0
Jude Bellingham,MF,Real Madrid,15.0
Vinícius Jr.,FW,Real Madrid,20.0
Rodrygo,FW,Real Madrid,12.0
Luka Modrić,MF,Real Madrid,25.0
Toni Kroos,MF,Real Madrid,23.0
Aurélien Tchouaméni,MF,Real Madrid,12.0
Eduardo Camavinga,MF,Real Madrid,10.0
Federico Valverde,MF,Real Madrid,12.0
David Alaba,DF,Real Madrid,18.0
Thibaut Courtois,GK,Real Madrid,15.0
Robert Lewandowski,FW,FC Barcelona,27.0
Frenkie de Jong,MF,FC Barcelona,22.0
Pedri,MF,FC Barcelona,10.0
Gavi,MF,FC Barcelona,8.0
Raphinha,FW,FC Barcelona,12.0
João Félix,FW,FC Barcelona,10.0
Ronald Araújo,DF,FC Barcelona,12.0
Jules Koundé,DF,FC Barcelona,12.0
Andreas Christensen,DF,FC Barcelona,9.0
Marc-André ter Stegen,GK,FC Barcelona,15.0
Antoine Griezmann,FW,Atlético Madrid,20.0
Álvaro Morata,FW,Atlético Madrid,12.0
João Félix,FW,Atlético Madrid,10.0
Rodrigo De Paul,MF,Atlético Madrid,11.0
Koke,MF,Atlético Madrid,10.0
Saúl Ñíguez,MF,Atlético Madrid,10.0
José María Giménez,DF,Atlético Madrid,10.0
Mario Hermoso,DF,Atlético Madrid,9.0
Jan Oblak,GK,Atlético Madrid,15.0
Marcos Llorente,MF,Atlético Madrid,9.0
Nabil Fekir,MF,Real Betis,9.0
Borja Iglesias,FW,Real Betis,8.0
Sergio Canales,MF,Real Betis,8.0
Guido Rodríguez,MF,Real Betis,7.0
William Carvalho,MF,Real Betis,7.0
Youssouf Sabaly,DF,Real Betis,6.0
Luiz Henrique,FW,Real Betis,6.0
Claudio Bravo,GK,Real Betis,5.0
Ayoze Pérez,FW,Real Betis,6.0
Marc Bartra,DF,Real Betis,6.0
Iago Aspas,FW,Celta Vigo,7.0
Gabri Veiga,MF,Celta Vigo,6.0
Jørgen Strand Larsen,FW,Celta Vigo,5.0
Óscar Rodríguez,MF,Celta Vigo,5.0
Fran Beltrán,MF,Celta Vigo,5.0
Joseph Aidoo,DF,Celta Vigo,5.0
Unai Núñez,DF,Celta Vigo,5.0
Iván Villar,GK,Celta Vigo,4.0
Carlos Dotor,MF,Celta Vigo,4.0
Jonathan Bamba,FW,Celta Vigo,4.0
Takefusa Kubo,FW,Real Sociedad,7.0
Mikel Oyarzabal,FW,Real Sociedad,8.0
Alexander Sørloth,FW,Real Sociedad,7.0
Brais Méndez,MF,Real Sociedad,7.0
David Silva,MF,Real Sociedad,8.0
Martín Zubimendi,MF,Real Sociedad,7.0
Robin Le Normand,DF,Real Sociedad,7.0
Diego Rico,DF,Real Sociedad,6.0
Álex Remiro,GK,Real Sociedad,6.0
Ander Barrenetxea,FW,Real Sociedad,6.0
Gerard Moreno,FW,Villarreal,9.0
Yeremy Pino,FW,Villarreal,7.0
Nicolas Jackson,FW,Villarreal,6.0
Dani Parejo,MF,Villarreal,8.0
Étienne Capoue,MF,Villarreal,7.0
Francis Coquelin,MF,Villarreal,7.0
Juan Foyth,DF,Villarreal,7.0
Pau Torres,DF,Villarreal,7.0
Raúl Albiol,DF,Villarreal,6.0
Pepe Reina,GK,Villarreal,5.0
Youssef En-Nesyri,FW,Sevilla,9.0
Ivan Rakitić,MF,Sevilla,8.0
Jesús Navas,DF,Sevilla,7.0
Lucas Ocampos,FW,Sevilla,7.0
Suso,FW,Sevilla,6.0
Óliver Torres,MF,Sevilla,6.0
Fernando,MF,Sevilla,6.0
Marcos Acuña,DF,Sevilla,7.0
Nemanja Gudelj,MF,Sevilla,6.0
Marko Dmitrović,GK,Sevilla,5.0
Samuel Chukwueze,FW,Villarreal,7.0
Bryan Gil,FW,Sevilla,6.0
Erik Lamela,FW,Sevilla,6.0
Munir El Haddadi,FW,Sevilla,6.0
Sergio Ramos,DF,Sevilla,10.0
Jesús Fernández,GK,Real Madrid,4.0
Álvaro Rodríguez,FW,Real Madrid,4.0
Ansu Fati,FW,FC Barcelona,8.0
Ferran Torres,FW,FC Barcelona,9.0
Eric García,DF,FC Barcelona,7.0
Sergi Roberto,MF,FC Barcelona,7.0
Dani Ceballos,MF,Real Madrid,7.0
Nacho Fernández,DF,Real Madrid,7.0
Lucas Vázquez,DF,Real Madrid,7.0
Éder Militão,DF,Real Madrid,12.0
Ferland Mendy,DF,Real Madrid,9.0
Victor Osimhen,FW,Napoli,12.0
Khvicha Kvaratskhelia,FW,Napoli,6.0
Piotr Zieliński,MF,Napoli,7.0
Stanislav Lobotka,MF,Napoli,6.0
Giovanni Di Lorenzo,DF,Napoli,5.0
Alex Meret,GK,Napoli,4.0
Matteo Politano,FW,Napoli,5.0
Amir Rrahmani,DF,Napoli,5.0
Juan Jesus,DF,Napoli,4.0
Giacomo Raspadori,FW,Napoli,5.0
Lautaro Martínez,FW,Inter Milan,12.0
Nicolò Barella,MF,Inter Milan,10.0
Hakan Çalhanoğlu,MF,Inter Milan,9.0
Henrikh Mkhitaryan,MF,Inter Milan,8.0
Denzel Dumfries,DF,Inter Milan,7.0
Francesco Acerbi,DF,Inter Milan,6.0
Stefan de Vrij,DF,Inter Milan,7.0
Yann Sommer,GK,Inter Milan,6.0
Marcus Thuram,FW,Inter Milan,7.0
Marko Arnautović,FW,Inter Milan,6.0
Rafael Leão,FW,AC Milan,10.0
Olivier Giroud,FW,AC Milan,8.0
Christian Pulisic,FW,AC Milan,7.0
Theo Hernández,DF,AC Milan,9.0
Mike Maignan,GK,AC Milan,7.0
Ismaël Bennacer,MF,AC Milan,8.0
Sandro Tonali,MF,AC Milan,10.0
Davide Calabria,DF,AC Milan,6.0
Fikayo Tomori,DF,AC Milan,7.0
Samuel Chukwueze,FW,AC Milan,7.0
Paulo Dybala,FW,AS Roma,9.0
Tammy Abraham,FW,AS Roma,8.0
Lorenzo Pellegrini,MF,AS Roma,8.0
Bryan Cristante,MF,AS Roma,7.0
Chris Smalling,DF,AS Roma,7.0
Gianluca Mancini,DF,AS Roma,7.0
Evan Ndicka,DF,AS Roma,6.0
Leandro Paredes,MF,AS Roma,7.0
Renato Sanches,MF,AS Roma,6.0
Rui Patrício,GK,AS Roma,5.0
Dušan Vlahović,FW,Juventus,11.0
Federico Chiesa,FW,Juventus,9.0
Adrien Rabiot,MF,Juventus,9.0
Paul Pogba,MF,Juventus,10.0
Manuel Locatelli,MF,Juventus,8.0
Gleison Bremer,DF,Juventus,7.0
Danilo,DF,Juventus,7.0
Wojciech Szczęsny,GK,Juventus,7.0
Moise Kean,FW,Juventus,6.0
Arkadiusz Milik,FW,Juventus,6.0
Ciro Immobile,FW,Lazio,9.0
Sergej Milinković-Savić,MF,Lazio,9.0
Luis Alberto,MF,Lazio,8.0
Mattia Zaccagni,FW,Lazio,7.0
Pedro,FW,Lazio,6.0
Felipe Anderson,FW,Lazio,7.0
Patric,DF,Lazio,6.0
Adam Marušić,DF,Lazio,6.0
Ivan Provedel,GK,Lazio,5.0
Matías Vecino,MF,Lazio,6.0
Joshua Kimmich,MF,Bayern Munich,15.0
Jamal Musiala,MF,Bayern Munich,12.0
Harry Kane,FW,Bayern Munich,25.0
Leroy Sané,FW,Bayern Munich,14.0
Serge Gnabry,FW,Bayern Munich,13.0
Thomas Müller,MF,Bayern Munich,15.0
Leon Goretzka,MF,Bayern Munich,13.0
Kingsley Coman,FW,Bayern Munich,13.0
Alphonso Davies,DF,Bayern Munich,12.0
Manuel Neuer,GK,Bayern Munich,18.0
Mats Hummels,DF,Borussia Dortmund,10.0
Marco Reus,FW,Borussia Dortmund,11.0
Julian Brandt,MF,Borussia Dortmund,9.0
Karim Adeyemi,FW,Borussia Dortmund,8.0
Youssoufa Moukoko,FW,Borussia Dortmund,7.0
Donyell Malen,FW,Borussia Dortmund,8.0
Niklas Süle,DF,Borussia Dortmund,9.0
Gregor Kobel,GK,Borussia Dortmund,7.0
Emre Can,MF,Borussia Dortmund,9.0
Felix Nmecha,MF,Borussia Dortmund,7.0
Florian Wirtz,MF,Bayer Leverkusen,12.0
Moussa Diaby,FW,Bayer Leverkusen,10.0
Patrik Schick,FW,Bayer Leverkusen,9.0
Jeremie Frimpong,DF,Bayer Leverkusen,8.0
Jonathan Tah,DF,Bayer Leverkusen,8.0
Lukáš Hrádecký,GK,Bayer Leverkusen,6.0
Exequiel Palacios,MF,Bayer Leverkusen,7.0
Amine Adli,FW,Bayer Leverkusen,6.0
Odilon Kossounou,DF,Bayer Leverkusen,6.0
Robert Andrich,MF,Bayer Leverkusen,6.0
Christopher Nkunku,FW,RB Leipzig,14.0
Timo Werner,FW,RB Leipzig,12.0
Dani Olmo,MF,RB Leipzig,11.0
Emil Forsberg,MF,RB Leipzig,9.0
Dominik Szoboszlai,MF,RB Leipzig,11.0
Josko Gvardiol,DF,RB Leipzig,12.0
Willi Orbán,DF,RB Leipzig,9.0
Mohamed Simakan,DF,RB Leipzig,8.0
Janis Blaswich,GK,RB Leipzig,6.0
Benjamin Henrichs,DF,RB Leipzig,7.0
Randal Kolo Muani,FW,Eintracht Frankfurt,10.0
Mario Götze,MF,Eintracht Frankfurt,9.0
Daichi Kamada,MF,Eintracht Frankfurt,8.0
Jesper Lindstrøm,MF,Eintracht Frankfurt,8.0
Evan Ndicka,DF,Eintracht Frankfurt,7.0
Kevin Trapp,GK,Eintracht Frankfurt,7.0
Djibril Sow,MF,Eintracht Frankfurt,7.0
Ansgar Knauff,FW,Eintracht Frankfurt,6.0
Lucas Alario,FW,Eintracht Frankfurt,6.0
Makoto Hasebe,DF,Eintracht Frankfurt,5.0
Kylian Mbappé,FW,Paris Saint-Germain,110.0
Neymar,FW,Paris Saint-Germain,150.0
Lionel Messi,FW,Paris Saint-Germain,54.0
Ousmane Dembélé,FW,Paris Saint-Germain,25.0
Achraf Hakimi,DF,Paris Saint-Germain,20.0
Gianluigi Donnarumma,GK,Paris Saint-Germain,18.0
Marquinhos,DF,Paris Saint-Germain,18.0
Marco Verratti,MF,Paris Saint-Germain,19.0
Sergio Ramos,DF,Paris Saint-Germain,22.0
Presnel Kimpembe,DF,Paris Saint-Germain,15.0
Alexandre Lacazette,FW,Lyon,10.0
Corentin Tolisso,MF,Lyon,9.0
Rayan Cherki,FW,Lyon,6.0
Nicolás Tagliafico,DF,Lyon,7.0
Anthony Lopes,GK,Lyon,6.0
Maxence Caqueret,MF,Lyon,7.0
Jeffinho,FW,Lyon,6.0
Dejan Lovren,DF,Lyon,7.0
Moussa Dembélé,FW,Lyon,9.0
Karl Toko Ekambi,FW,Lyon,8.0
Wissam Ben Yedder,FW,Monaco,10.0
Breel Embolo,FW,Monaco,9.0
Kevin Volland,FW,Monaco,8.0
Aleksandr Golovin,MF,Monaco,9.0
Axel Disasi,DF,Monaco,8.0
Caio Henrique,DF,Monaco,7.0
Guillermo Maripán,DF,Monaco,7.0
Youssouf Fofana,MF,Monaco,8.0
Takumi Minamino,MF,Monaco,7.0
Philipp Köhn,GK,Monaco,6.0
Jonathan David,FW,Lille,10.0
Rémy Cabella,MF,Lille,8.0
Benjamin André,MF,Lille,8.0
Tiago Djaló,DF,Lille,7.0
José Fonte,DF,Lille,7.0
Léo Jardim,GK,Lille,6.0
Adam Ounas,FW,Lille,6.0
Ismaily,DF,Lille,6.0
Gabriel Gudmundsson,DF,Lille,6.0
Edon Zhegrova,FW,Lille,6.0
Dimitri Payet,MF,Marseille,9.0
Mattéo Guendouzi,MF,Marseille,8.0
Cengiz Ünder,FW,Marseille,7.0
Valentin Rongier,MF,Marseille,7.0
Chancel Mbemba,DF,Marseille,7.0
Jordan Veretout,MF,Marseille,7.0
Pau López,GK,Marseille,7.0
Jonathan Clauss,DF,Marseille,7.0
Sead Kolašinac,DF,Marseille,6.0
Amine Harit,MF,Marseille,6.0
Clément Grenier,MF,Rennes,7.0
Amine Gouiri,FW,Rennes,8.0
Jérémy Doku,FW,Rennes,8.0
Martin Terrier,FW,Rennes,8.0
Lovro Majer,MF,Rennes,7.0
Benjamin Bourigeaud,MF,Rennes,7.0
Steve Mandanda,GK,Rennes,6.0
Arthur Theate,DF,Rennes,6.0
Christopher Wooh,DF,Rennes,6.0
Désiré Doué,MF,Rennes,6.0
Houssem Aouar,MF,Lyon,8.0
Moses Simon,FW,Nantes,7.0
Ludovic Blas,MF,Nantes,7.0
Alban Lafont,GK,Nantes,6.0
Andrei Girotto,DF,Nantes,6.0
Nicolas Pallois,DF,Nantes,6.0
Mostafa Mohamed,FW,Nantes,6.0
Samuel Moutoussamy,MF,Nantes,6.0
Quentin Merlin,DF,Nantes,5.0
Pedro Chirivella,MF,Nantes,6.0
Cristiano Ronaldo,FW,Al Nassr,200.0
Sadio Mané,FW,Al Nassr,40.0
Marcelo Brozović,MF,Al Nassr,25.0
Anderson Talisca,FW,Al Nassr,15.0
David Ospina,GK,Al Nassr,10.0
Abdulelah Al-Amri,DF,Al Nassr,8.0
Nawaf Al-Aqidi,GK,Al Nassr,6.0
Ali Al-Hassan,MF,Al Nassr,7.0
Sultan Al-Ghannam,DF,Al Nassr,8.0
Ghislain Konan,DF,Al Nassr,7.0
Karim Benzema,FW,Al Ittihad,100.0
N’Golo Kanté,MF,Al Ittihad,25.0
Fabinho,MF,Al Ittihad,25.0
Jota,FW,Al Ittihad,15.0
Abderrazak Hamdallah,FW,Al Ittihad,10.0
Igor Coronado,MF,Al Ittihad,10.0
Ahmed Hegazi,DF,Al Ittihad,8.0
Romarinho,FW,Al Ittihad,10.0
Bruno Henrique,MF,Al Ittihad,9.0
Marcelo Grohe,GK,Al Ittihad,8.0
Neymar,FW,Al Hilal,150.0
Sergej Milinković-Savić,MF,Al Hilal,30.0
Kalidou Koulibaly,DF,Al Hilal,25.0
Rúben Neves,MF,Al Hilal,25.0
Salem Al-Dawsari,FW,Al Hilal,12.0
Yassine Bounou,GK,Al Hilal,10.0
Mohammed Al-Burayk,DF,Al Hilal,8.0
Ali Al-Bulaihi,DF,Al Hilal,8.0
André Carrillo,FW,Al Hilal,9.0
Jorge Jesús,MF,Al Hilal,7.0
Lionel Messi,FW,Inter Miami,54.0
Sergio Busquets,MF,Inter Miami,20.0
Jordi Alba,DF,Inter Miami,15.0
Josef Martínez,FW,Inter Miami,10.0
DeAndre Yedlin,DF,Inter Miami,8.0
Drake Callender,GK,Inter Miami,6.0
Leonardo Campana,FW,Inter Miami,8.0
Gregore,MF,Inter Miami,7.0
Robert Taylor,MF,Inter Miami,6.0
Facundo Farías,FW,Inter Miami,6.0
